operator_cluster,operator,provider_count,asn_count,country_count,observed_records_bucket,top_provider_examples,source_repo
OperatorCluster-328,SKHRON Skhron OU: skhron.eu,0,1,1,lt-50,Sentinel dVPN (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-329,TWO-DEGREES-AS-AP Two Degrees Networks Limited,0,1,1,lt-50,Astrill (4); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-330,VECTANT ARTERIA Networks Corporation,0,1,1,lt-50,VPN Gate (3); FlowVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-331,VIETEL-AS-AP Viettel Group,0,1,1,lt-50,WiTopia (4); VPN Gate (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-332,WCZAPKOWICZ-AS as214481as-wczapkowicz Chunkserve Backbone Transit,0,1,1,lt-50,Sentinel dVPN (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-333,WEBENLET-AS,0,1,1,lt-50,Astrill (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-334,WEBEX,0,1,1,lt-50,WiTopia (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-335,WEBWORLD-AS ta Web World Ireland,0,1,2,lt-50,Astrill (3); OysterVPN (1); VPNUK (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-336,WESTHOST,0,1,1,lt-50,Mullvad (5),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-337,XSERVERCLOUD,0,1,1,lt-50,AnonymousVPN (1); FastestVPN (1); IVPN (1); Sentinel dVPN (1); VPN Unlimited (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-338,ZAYO-6461,0,1,1,lt-50,Private Internet Access (3); CyberGhost (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-339,ABKHAZMEDIA-AS,0,1,1,lt-50,Sentinel dVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-340,ACTIVE-SERVERS active-servers.com,0,1,1,lt-50,Astrill (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-341,AS-CYBER-DATA,0,1,1,lt-50,Mullvad (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-342,ASBAXETN,0,1,1,lt-50,Sentinel dVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-343,Administracion Nacional de Telecomunicaciones,0,1,1,lt-50,Sentinel dVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-344,Autonomous System for Dataspace P.S.A.,0,1,1,lt-50,PrivateVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-345,BAGE,0,1,1,lt-50,FlowVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-346,BINARYRACKS-AS,0,1,1,lt-50,Astrill (3); FlowVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-347,BYTENODE-AS,0,1,1,lt-50,Mullvad (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-348,"CAT-AP The Communication Authoity of Thailand, CAT",0,1,1,lt-50,TorGuard (4); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-349,CIVO-UK,0,1,1,lt-50,FlowVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-350,CLOUDFLARENET,0,1,1,lt-50,KevinVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-351,CLOUDLEASE,0,1,1,lt-50,Astrill (3); Trust.Zone (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-352,COOPNORGE,0,1,1,lt-50,Sentinel dVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-353,DATABRIDGE,0,1,1,lt-50,Mullvad (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-354,DELTAHOST-KYIV,0,1,1,lt-50,VPNSecure (2); FlowVPN (1); GhostPath (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-355,EDGECENTERLLC,0,1,1,lt-50,FlowVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-356,EVOLUS-IX,0,2,1,lt-50,KevinVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-357,FARDA-IX-LINK,0,1,1,lt-50,Psiphon (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-358,FIRST-SERVER-EU-AS FIRST-SERVER-US,0,1,1,lt-50,Trust.Zone (2); VPN Jantit (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-359,GNETINC-AS-AP GNET INC.,0,1,1,lt-50,Astrill (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-360,HAYASHIMO,0,1,1,lt-50,Mullvad (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-361,HON-ASN,0,1,1,lt-50,Astrill (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-362,HOSTBILBY,0,1,1,lt-50,KevinVPN (2); Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-363,HOSTKEY-USA,0,1,1,lt-50,Astrill (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-364,HOSTUP HOSTUP,0,1,1,lt-50,KevinVPN (2); Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-365,HUTCHISON-AS-AP HGC Global Communications Limited,0,1,1,lt-50,Astrill (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-366,IDNIC-BIZNETGIO-AS-ID PT Biznet Gio Nusantara,0,1,1,lt-50,VPN Jantit (3); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-367,INTERNETPORT-AS,0,1,1,lt-50,Astrill (3); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-368,IOFLOOD,0,1,1,lt-50,Astrill (3); SwitchVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-369,LERTAS-AS,0,1,1,lt-50,Astrill (3); PrivateVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-370,NANO-AS,0,1,1,lt-50,CCrypto VPN (2); Surfshark (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-371,PHOENIXNAP-SRB,0,1,1,lt-50,Astrill (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-372,RACKVOLT-AS-AP RACKVOLT CLOUD SOLUTIONS PRIVATE LIMITED,0,1,1,lt-50,Sentinel dVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-373,ROGERS-COMMUNICATIONS,0,1,1,lt-50,NordVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-374,SELECTEL-MSK,0,1,1,lt-50,WiTopia (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-375,SENKO-AS Senko Digital Ltd,0,1,1,lt-50,Sentinel dVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-376,SERVER-AS-AP Server Galactic Private Limited,0,1,1,lt-50,Sentinel dVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-377,SERVERS-AUS-CUST Servers Australia Customers,0,1,1,lt-50,Private Internet Access (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-378,SO-NET Sony Network Communications Inc.,0,1,1,lt-50,VPN Gate (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-379,TANGRAM-CANADA-INC,0,1,1,lt-50,AnonymousVPN (3); WorldVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-380,VERSATEL,0,1,1,lt-50,NordVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-381,WEB2OBJECTS,0,1,1,lt-50,NordVPN (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-382,XTOM,0,1,1,lt-50,Mullvad (4),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-383,iHosting Servicios Internet Ltda.,0,1,1,lt-50,TorGuard (3); GhostPath (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-384,-Reserved AS-,0,2,2,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-385,ACTIVENETWORK-AS Active Network S.p.A.,0,1,1,lt-50,Sentinel dVPN (2); FlowVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-386,"ALWYZON Alwyzon, a trading name of Hohl IT e.U.",0,1,1,lt-50,FlowVPN (2); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-387,AS-SERVERION Serverion B.V.,0,1,1,lt-50,Smartdnsproxy (3); Getflix (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-388,ASN-METANET Routingpeering issues: noc@metanet.ch,0,1,1,lt-50,VPNUK (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-389,BAHNHOF,0,1,1,lt-50,Integrityvpn (1); ProtonVPN (1); VPNSecure (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-390,"BANGMODENTERPRISE-TH Bangmod Enterprise Co., Ltd.",0,1,1,lt-50,AzireVPN (1); PrivateVPN (1); RedShield VPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-391,BEGET-AS,0,1,1,lt-50,KeyDrop (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-392,BELCLOUD Premium IP transit network,0,1,1,lt-50,Astrill (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-393,BV-EU-AS,0,1,3,lt-50,CactusVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-394,Banka Kombetare Tregtare Sh.A.,0,1,1,lt-50,Vpnht (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-395,CAPL-AS-AP Contabo Asia Private Limited,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-396,CL8ASN1,0,1,1,lt-50,FlowVPN (1); PrivateVPN (1); Safervpn (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-397,CLOUDWEBMANAGE-UK-1,0,1,1,lt-50,FlowVPN (2); VPNSecure (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-398,"CTCX Chubu Telecommunications Company, Inc.",0,1,1,lt-50,VPN Gate (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-399,CYBERSE Cyberse GmbH & Co. KG,0,1,1,lt-50,KevinVPN (2); FreeVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-400,DE-CORP DE-CORP,0,1,1,lt-50,Windscribe (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-401,DF-TRANSIT,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-402,FIRST-SERVER-EUROPE,0,1,1,lt-50,VPN Jantit (2); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-403,GHT-NET,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-404,HIZAKURA-,0,1,1,lt-50,KevinVPN (2); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-405,HOLLANDER-JACOBSEN,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-406,HOSTPAT-AS-IN HOSTDZIRE WEB SERVICES PRIVATE LIMITED,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-407,HS,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-408,Host-Africa-AS,0,1,1,lt-50,Sentinel dVPN (2); VPN Jantit (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-409,IGNERO,0,1,1,lt-50,Astrill (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-410,IKOULA,0,1,1,lt-50,Astrill (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-411,INIOS-AS,0,1,1,lt-50,PureVPN (2); Ivacy (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-412,ITLDC-EU,0,1,2,lt-50,WorldVPN (2); VPN Jantit (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-413,ITM NORD AS,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-414,IXIR,0,1,1,lt-50,FastestVPN (1); OysterVPN (1); VPNUK (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-415,"JTCL-JP-AS JCOM Co., Ltd.",0,1,1,lt-50,VPN Gate (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-416,KAMATERA,0,1,1,lt-50,VPNSecure (2); FlowVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-417,KIRINONET,0,1,1,lt-50,Astrill (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-418,LACHANSO-VN Digital Shield Technology Company Limited,0,1,1,lt-50,Windscribe (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-419,LANCOM Athens - Greece,0,1,1,lt-50,Astrill (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-420,LGDACOM LG DACOM Corporation,0,1,1,lt-50,Windscribe (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-421,LUMEN-LEGACY-L3-CUSTOMER-SHARED-USE,0,1,1,lt-50,WiTopia (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-422,MADGEN-01,0,1,1,lt-50,Astrill (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-423,MAGNA-CAPAX,0,1,1,lt-50,Astrill (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-424,MASTER-AS Czech Republic  www.master.cz,0,1,1,lt-50,Sentinel dVPN (2); AnonymousVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-425,MVPS www.mvps.net,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-426,NETCUP-AS netcup GmbH,0,1,1,lt-50,Sentinel dVPN (2); KeyDrop (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-427,NETERRA-AS,0,1,1,lt-50,Astrill (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-428,"NNECL-AS-AP NZ Network Enterprise Co., Ltd.",0,1,1,lt-50,Windscribe (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-429,NUSANET-AS-ID PT. Media Antar Nusa,0,1,1,lt-50,FreeVPN (2); Zoogvpn (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-430,NUYEK,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-431,OCN NTT Communications Corporation,0,1,1,lt-50,VPN Gate (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-432,PROLOCATION Prolocation,0,1,1,lt-50,Goosevpn (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-433,PROXAD,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-434,RISEUP,0,1,1,lt-50,Riseup VPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-435,ROUTE95,0,1,1,lt-50,WorldVPN (2); VPN Jantit (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-436,ROUTERHOSTING,0,1,1,lt-50,MoriVPN (2); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-437,SERVITRO-LTD,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-438,SILKGLOBAL DOMINICANA SRL,0,1,1,lt-50,WiTopia (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-439,SIMPLYTRANSIT,0,1,1,lt-50,VPNUK (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-440,SMARTAPE,0,1,1,lt-50,CactusVPN (2); HideIPVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-441,SYNAPSECOM-AS SYNAPSECOM TELECOMS S.A.,0,1,1,lt-50,VPN Unlimited (2); GhostPath (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-442,THE-HOSTING,0,1,1,lt-50,FlowVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-443,TWO-E-TELEKOM,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-444,ULTAHOST-AP-AS,0,1,2,lt-50,VPN Jantit (2); CactusVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-445,VAULT-HOST,0,1,1,lt-50,Astrill (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-446,VCL-AS-AP Virtury Cloud Private Limited,0,1,1,lt-50,Astrill (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-447,VDSINA,0,1,1,lt-50,KeyDrop (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-448,VEESP-AS,0,1,1,lt-50,WorldVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-449,VIRMACH,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-450,VITALNG,0,1,1,lt-50,GhostPath (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-451,VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP,0,1,1,lt-50,Astrill (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-452,VPLSNET,0,1,1,lt-50,Windscribe (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-453,WORLDBUS,0,2,1,lt-50,FlowVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-454,YOTTASRC,0,1,1,lt-50,Sentinel dVPN (3),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-455,AIS-FIBRE-AS-AP AIS Fibre,0,1,1,lt-50,VPN Gate (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-456,ALJASKA-AS,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-457,AMAZON-AES,0,1,1,lt-50,Octanevpn (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-458,ANTON-LEVIN-AS,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-459,AS-3HCLOUD,0,1,1,lt-50,KevinVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-460,AS-SERVERION,0,1,1,lt-50,Smartdnsproxy (2); Getflix (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-461,AS213929CH AS213929.ch,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-462,ASN-FLEXENTIAL,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-463,ATLANTIC-NET-1,0,1,1,lt-50,Getflix (1); HideIPVPN (1); Smartdnsproxy (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-464,ATT-INTERNET4,0,1,1,lt-50,Goosevpn (1); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-465,AXARNET-AS,0,1,1,lt-50,Astrill (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-466,BALTNETA Customers AS,0,1,1,lt-50,AnonymousVPN (1); FlowVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-467,BIGLOBE BIGLOBE Inc.,0,1,1,lt-50,VPN Gate (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-468,C1V Internet Service Provider in Italy,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-469,CABLENET-AS,0,1,1,lt-50,ProtonVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-470,CARRIERDOMAIN-NYC,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-471,COLOCATEL-INC Colocatel Network - High Bandwidth Dedicated Servers,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-472,COMCAST-7922,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-473,COOLHOUSING-AS Vinohradska 190,0,1,1,lt-50,Astrill (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-474,CORE-BACKBONE CORE-BACKBONE GMBH GLOBAL NETWORK,0,1,1,lt-50,FlowVPN (1); GhostPath (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-475,CROWNCLOUD,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-476,CSLOX-IDC-AS-AP CS LOXINFO Public Company Limited.,0,1,1,lt-50,Astrill (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-477,CTRLS-AS-IN CtrlS,0,1,1,lt-50,Astrill (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-478,DAINTERNATIONALGROUP,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-479,DCE,0,1,1,lt-50,Surfshark (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-480,DOT,0,1,1,lt-50,VPNSecure (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-481,ELCRO-DIGITAL-SERVICES-LLC,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-482,"ETPI-IDS-AS-AP Eastern Telecoms Phils., Inc.",0,1,1,lt-50,VPN Jantit (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-483,EVOCATIVE-GLOBAL,0,1,1,lt-50,CyberGhost (1); Private Internet Access (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-484,EVOXTENTERPRISE-AS-AP Evoxt Enterprise,0,1,1,lt-50,FlowVPN (1); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-485,FARICE-AS,0,1,1,lt-50,ProtonVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-486,FASTPANDA,0,1,1,lt-50,Sentinel dVPN (1); VPNSecure (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-487,FRONTIER-FRTR,0,1,1,lt-50,Astrill (1); Vpnfacile (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-488,GLBBULUTTEKNOLOJISI-AS,0,1,1,lt-50,FlowVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-489,HIVE-DATA-CENTER,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-490,HKTIMS-AP HKT Limited,0,1,1,lt-50,Astrill (1); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-491,HOST-MEDIA-LTD,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-492,HOSTINGINSIDE HostingInside LTD.,0,1,1,lt-50,PrivateVPN (1); ProtonVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-493,HOSTKEY-AS,0,1,1,lt-50,KevinVPN (1); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-494,HOSTSLIM-GLOBAL-NETWORK,0,1,1,lt-50,CCrypto VPN (1); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-495,HSO-GROUP,0,1,1,lt-50,GhostPath (1); uVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-496,HZ-UK-AS,0,1,1,lt-50,Trust.Zone (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-497,HZ-US-AS,0,1,1,lt-50,Trust.Zone (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-498,Host-Africa-AS2,0,1,1,lt-50,AnonymousVPN (1); VPN Jantit (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-499,I-SERVERS-NORTH-EU to AS51765 announce AS207569,0,1,1,lt-50,VPN Jantit (1); Zoogvpn (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-500,I4W,0,1,1,lt-50,CactusVPN (1); Safervpn (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-501,IDNIC-ATHAMEDIANET-AS-ID CV Atha Media Prima,0,1,1,lt-50,VPN Jantit (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-502,IDNIC-BSTI-AS-ID PT Berkah Solusi Teknologi Informasi,0,1,1,lt-50,VPN Jantit (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-503,IDNIC-SUITEN-AS-ID PT. SUITEN INOVASI SUKSES,0,1,1,lt-50,AzireVPN (1); ProtonVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-504,INALAN,0,1,1,lt-50,Astrill (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-505,INFOMANIAK-AS,0,1,1,lt-50,KevinVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-506,INTERDIGI-VN INTERDIGI JOINT STOCK COMPANY,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-507,INTERNETO-VIZIJA,0,1,1,lt-50,HideIPVPN (1); PrivateVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-508,J AND J SPA INFOFRACTAL,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-509,KARABRO Karabro AB,0,1,1,lt-50,FlowVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-510,KEYWEB-AS,0,1,1,lt-50,OVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-511,KOUMBIT,0,1,1,lt-50,Riseup VPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-512,KREDIT-AS,0,1,1,lt-50,Sentinel dVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-513,KUZEYDC,0,1,1,lt-50,KevinVPN (1); Sentinel dVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-514,LEASEWEB-UK-LON-11,0,1,1,lt-50,NetShade (1); VPN.ac (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-515,LIGHT4-AS-AP LIGHT NODE LIMITED,0,1,1,lt-50,Sentinel dVPN (1); Zoogvpn (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-516,LIVENET-,0,1,1,lt-50,HideIPVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-517,LV-2CLOUD-ASN16,0,1,1,lt-50,CactusVPN (2),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-518,MAKONIX,0,1,2,lt-50,AnonymousVPN (1); FreeVPN (1),ipanalytics/vpn-provider-overlap-intelligence
OperatorCluster-519,MICROTRONIX-ESOLUTIONS,0,1,1,lt-50,Astrill (2),ipanalytics/vpn-provider-overlap-intelligence
