provider,asn,operator,country_count,country_examples,observed_records_bucket,prefix_count,avg_confidence,data_origin
NordVPN,207990,HR-CUSTOMER,1,India,lt-50,2,95.0,VPN-Infrastructure-Atlas
NordVPN,39486,HOSTROYALE,1,India,lt-50,2,95.0,VPN-Infrastructure-Atlas
Perimeter81,16509,AMAZON-02,1,United States,lt-50,4,70.0,VPN-Infrastructure-Atlas
PrivateVPN,60068,CDN77 _,6,Australia; Greece; Hong Kong; Japan; Singapore; United States,lt-50,16,94.1,VPN-Infrastructure-Atlas
Smartdnsproxy,9009,M247,1,Romania,lt-50,15,78.0,VPN-Infrastructure-Atlas
StrongVPN,62240,CLOUVIDER Clouvider - Global ASN,1,United Kingdom,lt-50,7,83.8,VPN-Infrastructure-Atlas
TunnelBear,133752,LEASEWEB-APAC-HKG-10 LEASEWEB HONG KONG LIMITED,1,Hong Kong,lt-50,3,95.0,VPN-Infrastructure-Atlas
TunnelBear,29838,AMC,1,United States,lt-50,4,95.0,VPN-Infrastructure-Atlas
TunnelBear,46475,LIMESTONENETWORKS,1,United States,lt-50,5,95.0,VPN-Infrastructure-Atlas
VPN Gate,36599,SOFTETHER-AMERICA,1,United States,lt-50,1,78.0,VPN-Infrastructure-Atlas
VPN Jantit,16276,OVH,1,France,lt-50,15,88.0,VPN-Infrastructure-Atlas
VPN Jantit,41745,FORTIS-AS Hosting services,1,Russia,lt-50,14,88.0,VPN-Infrastructure-Atlas
Windscribe,53356,FREE RANGE CLOUD,1,Canada,lt-50,4,95.0,VPN-Infrastructure-Atlas
